timestamp,time,low,high,open,close,volume
1522537260,2018-04-01T00:01:00+01:00,321.2,322.82,321.2,321.95,76.96814758000001
1522537320,2018-04-01T00:02:00+01:00,321.87,321.87,321.87,321.87,0.08673144
1522537500,2018-04-01T00:05:00+01:00,321.86,321.86,321.86,321.86,0.01
1522537860,2018-04-01T00:11:00+01:00,320.53,321.71,321.71,320.97,17.516569129999997
1522537980,2018-04-01T00:13:00+01:00,321.01,321.73,321.01,321.61,46.563643969999994
1522538160,2018-04-01T00:16:00+01:00,321.49,321.49,321.49,321.49,0.01
1522538220,2018-04-01T00:17:00+01:00,320.91,320.91,320.91,320.91,0.01
1522538280,2018-04-01T00:18:00+01:00,320.1,320.48,320.48,320.1,1.54907018
1522538340,2018-04-01T00:19:00+01:00,320,321.02,320,320.86,21.07893715
1522538400,2018-04-01T00:20:00+01:00,320.4,320.53,320.53,320.4,0.02
1522538460,2018-04-01T00:21:00+01:00,319.91,319.91,319.91,319.91,0.037899
1522538580,2018-04-01T00:23:00+01:00,319.35,320.39,320.39,319.35,24.990605000000002
1522538640,2018-04-01T00:24:00+01:00,319.48,320.29,319.48,320.29,0.9973449200000001
1522538760,2018-04-01T00:26:00+01:00,320.29,320.29,320.29,320.29,0.05839672
1522539000,2018-04-01T00:30:00+01:00,319,320.28,320.28,319,5.139876640000001
1522539120,2018-04-01T00:32:00+01:00,318.5,318.75,318.75,318.5,20
1522539420,2018-04-01T00:37:00+01:00,318.6,318.69,318.6,318.69,4.18818179
1522539720,2018-04-01T00:42:00+01:00,318.95,321.9,318.95,320.46,80.07165259
1522540020,2018-04-01T00:47:00+01:00,320.76,320.76,320.76,320.76,1.00796244
1522540080,2018-04-01T00:48:00+01:00,320.76,320.76,320.76,320.76,0.8964097
1522540800,2018-04-01T01:00:00+01:00,320.77,320.77,320.77,320.77,2.15819169
1522540860,2018-04-01T01:01:00+01:00,320.96,321.11,320.96,321.11,0.26819786
1522540920,2018-04-01T01:02:00+01:00,321.94,321.95,321.95,321.94,2.5
1522540980,2018-04-01T01:03:00+01:00,321.99,321.99,321.99,321.99,0.38450271
1522541040,2018-04-01T01:04:00+01:00,322,322,322,322,0.38217645
1522541100,2018-04-01T01:05:00+01:00,322,322,322,322,1.45526154
1522541160,2018-04-01T01:06:00+01:00,321.99,321.99,321.99,321.99,10.56398368
1522541220,2018-04-01T01:07:00+01:00,322,322,322,322,1.5643462700000001
1522541280,2018-04-01T01:08:00+01:00,322,322.19,322,322.19,0.030002430000000004
1522541880,2018-04-01T01:18:00+01:00,322.96,323.43,322.96,323.43,4.89548324
1522542480,2018-04-01T01:28:00+01:00,323.43,323.43,323.43,323.43,2.95570019
1522542540,2018-04-01T01:29:00+01:00,323.43,323.43,323.43,323.43,0.89946723
1522542660,2018-04-01T01:31:00+01:00,323.43,323.43,323.43,323.43,1.07891395
1522543140,2018-04-01T01:39:00+01:00,323.43,323.43,323.43,323.43,3.04253735
1522543200,2018-04-01T01:40:00+01:00,322.46,323.42,323.42,322.85,7.7730285499999985
1522543320,2018-04-01T01:42:00+01:00,322.85,322.85,322.85,322.85,0.36968234
1522543500,2018-04-01T01:45:00+01:00,322.53,322.89,322.89,322.53,1
1522543560,2018-04-01T01:46:00+01:00,322.65,322.89,322.89,322.65,0.24700170999999999
1522543680,2018-04-01T01:48:00+01:00,322,322.88,322.88,322,2.95570019
1522544220,2018-04-01T01:57:00+01:00,322.78,322.78,322.78,322.78,0.01
1522544280,2018-04-01T01:58:00+01:00,321.07,322.36,322.36,321.07,12.38325301
1522544820,2018-04-01T02:07:00+01:00,321.25,321.25,321.25,321.25,0.38217645
1522545180,2018-04-01T02:13:00+01:00,318,321.25,321.24,320.42,133.49384027
1522545240,2018-04-01T02:14:00+01:00,321.23,321.23,321.23,321.23,0.01
1522545300,2018-04-01T02:15:00+01:00,321.24,321.24,321.24,321.24,0.15518132
1522545720,2018-04-01T02:22:00+01:00,321.06,321.26,321.21,321.26,2.7447658699999997
1522546080,2018-04-01T02:28:00+01:00,321.36,321.45,321.36,321.45,0.05
1522546140,2018-04-01T02:29:00+01:00,321.97,322.17,321.97,322.17,25.946008720000002
1522546260,2018-04-01T02:31:00+01:00,322.39,322.39,322.39,322.39,0.06525383
1522546920,2018-04-01T02:42:00+01:00,322.51,322.62,322.51,322.62,0.32323865
1522547040,2018-04-01T02:44:00+01:00,322.5,322.63,322.5,322.63,0.15451758000000002
1522547160,2018-04-01T02:46:00+01:00,322.98,323.47,322.98,323.47,1.0148736
1522547460,2018-04-01T02:51:00+01:00,323.61,323.61,323.61,323.61,0.01
1522547580,2018-04-01T02:53:00+01:00,323.28,323.28,323.28,323.28,0.062059
1522548060,2018-04-01T03:01:00+01:00,323.25,323.27,323.27,323.25,9.1023958
1522548180,2018-04-01T03:03:00+01:00,323.25,323.25,323.25,323.25,0.15
1522548420,2018-04-01T03:07:00+01:00,323.02,323.24,323.24,323.02,0.56021343
1522549320,2018-04-01T03:22:00+01:00,322.67,323.01,323.01,322.67,3
1522549620,2018-04-01T03:27:00+01:00,322.08,323,323,322.39,1.4842347
1522549740,2018-04-01T03:29:00+01:00,322.45,322.97,322.97,322.45,0.13262722
1522549920,2018-04-01T03:32:00+01:00,322.04,322.96,322.96,322.04,0.35095277
1522549980,2018-04-01T03:33:00+01:00,322.04,322.95,322.95,322.04,0.31
1522550040,2018-04-01T03:34:00+01:00,322.04,322.74,322.74,322.04,1.95612774
1522550220,2018-04-01T03:37:00+01:00,322,322,322,322,6.19260231
1522550340,2018-04-01T03:39:00+01:00,321.99,321.99,321.99,321.99,0.079961
1522550400,2018-04-01T03:40:00+01:00,320.81,321.99,321.99,320.81,1.2428276900000002
1522550460,2018-04-01T03:41:00+01:00,320.81,320.81,320.81,320.81,0.039985
1522550520,2018-04-01T03:42:00+01:00,320.81,320.81,320.81,320.81,0.03998
1522550580,2018-04-01T03:43:00+01:00,320.81,320.81,320.81,320.81,0.64724631
1522550760,2018-04-01T03:46:00+01:00,320.09,320.09,320.09,320.09,0.02
1522551180,2018-04-01T03:53:00+01:00,320.14,320.14,320.14,320.14,0.5071
1522551720,2018-04-01T04:02:00+01:00,320.15,320.47,320.15,320.47,1.52195371
1522552440,2018-04-01T04:14:00+01:00,320.01,320.45,320.45,320.01,1
1522552500,2018-04-01T04:15:00+01:00,319.74,320.02,320.02,319.74,2.53661536
1522552620,2018-04-01T04:17:00+01:00,319.72,319.72,319.72,319.72,0.01
1522552920,2018-04-01T04:22:00+01:00,319.21,319.21,319.21,319.21,0.01158
1522552980,2018-04-01T04:23:00+01:00,319.21,319.21,319.21,319.21,0.51095109
1522553100,2018-04-01T04:25:00+01:00,318.91,319.91,319.91,318.91,4.3089122500000006
1522553280,2018-04-01T04:28:00+01:00,319.91,319.92,319.91,319.92,0.032
1522553520,2018-04-01T04:32:00+01:00,320.06,320.06,320.06,320.06,0.047233000000000004
1522554060,2018-04-01T04:41:00+01:00,320.06,320.06,320.06,320.06,0.31150689
1522556160,2018-04-01T05:16:00+01:00,320.06,320.41,320.06,320.41,2.9080632299999998
1522556220,2018-04-01T05:17:00+01:00,320.57,320.65,320.57,320.65,1.0000286
1522556880,2018-04-01T05:28:00+01:00,320.64,320.64,320.64,320.64,0.03503
1522557060,2018-04-01T05:31:00+01:00,320.1,320.31,320.31,320.1,1.0000286
1522557420,2018-04-01T05:37:00+01:00,319.95,320.3,320.3,319.95,0.05
1522557900,2018-04-01T05:45:00+01:00,320.4,320.45,320.4,320.45,1.5268045099999998
1522557960,2018-04-01T05:46:00+01:00,320.47,320.51,320.47,320.5,1.0461490700000002
1522558320,2018-04-01T05:52:00+01:00,320.5,320.5,320.5,320.5,14.02768294
1522560120,2018-04-01T06:22:00+01:00,320.48,320.48,320.48,320.48,0.11
1522560180,2018-04-01T06:23:00+01:00,320.49,320.49,320.49,320.49,0.85860549
1522561800,2018-04-01T06:50:00+01:00,319.98,320.5,320.5,319.98,3.52663891
1522562220,2018-04-01T06:57:00+01:00,319.82,320.5,320.5,319.82,6.2829999999999995
1522562700,2018-04-01T07:05:00+01:00,318.06,320.49,320.49,318.06,21.823379759999995
1522563000,2018-04-01T07:10:00+01:00,318.16,318.17,318.17,318.16,0.03
1522563060,2018-04-01T07:11:00+01:00,318.09,318.09,318.09,318.09,0.01
1522563180,2018-04-01T07:13:00+01:00,318.06,318.06,318.06,318.06,5
1522563240,2018-04-01T07:14:00+01:00,318.06,318.06,318.06,318.06,3.12521321
1522563600,2018-04-01T07:20:00+01:00,318.06,318.06,318.06,318.06,0.94829023
1522563780,2018-04-01T07:23:00+01:00,318,318.07,318.07,318,94.39261274000003
1522563840,2018-04-01T07:24:00+01:00,317.5,317.88,317.88,317.5,16.356417089999997
1522563900,2018-04-01T07:25:00+01:00,316,317.5,317.5,316.5,32.30616074000001
1522563960,2018-04-01T07:26:00+01:00,316,316.49,316.49,316,101.30244061
1522564020,2018-04-01T07:27:00+01:00,313.15,315.6,315.6,314.72,204.91233223999993
1522564080,2018-04-01T07:28:00+01:00,314.56,314.56,314.56,314.56,2.7299999999999995
1522564140,2018-04-01T07:29:00+01:00,313.59,314.55,314.55,313.59,5
1522564200,2018-04-01T07:30:00+01:00,314.56,314.56,314.56,314.56,0.383628
1522564260,2018-04-01T07:31:00+01:00,313.59,314.56,314.56,313.59,2.7773978
1522564380,2018-04-01T07:33:00+01:00,314.12,314.12,314.12,314.12,0.33326735
1522564440,2018-04-01T07:34:00+01:00,314.12,314.8,314.12,314.8,26.77246257
1522564500,2018-04-01T07:35:00+01:00,314.8,314.8,314.8,314.8,0.14714433
1522564560,2018-04-01T07:36:00+01:00,314.79,314.79,314.79,314.79,0.03440536
1522564800,2018-04-01T07:40:00+01:00,314.61,314.61,314.61,314.61,0.19895000000000002
1522564920,2018-04-01T07:42:00+01:00,314.77,314.8,314.77,314.8,5.2702738700000005
1522564980,2018-04-01T07:43:00+01:00,314.8,314.8,314.8,314.8,0.034943
1522565040,2018-04-01T07:44:00+01:00,314.41,314.8,314.8,314.41,5.39073209
1522565220,2018-04-01T07:47:00+01:00,314.66,314.66,314.66,314.66,2.71
1522565280,2018-04-01T07:48:00+01:00,313.22,314.74,314.65,313.22,3.6514317700000003
1522565340,2018-04-01T07:49:00+01:00,314.72,314.8,314.72,314.8,2.92671193
1522565400,2018-04-01T07:50:00+01:00,314.8,314.8,314.8,314.8,1.04419904
1522565640,2018-04-01T07:54:00+01:00,314.8,314.8,314.8,314.8,0.29558719
1522565700,2018-04-01T07:55:00+01:00,314.8,314.8,314.8,314.8,0.03167118
1522565880,2018-04-01T07:58:00+01:00,314.8,314.8,314.8,314.8,0.64609221
1522566000,2018-04-01T08:00:00+01:00,314.79,314.79,314.79,314.79,1.003985
1522566060,2018-04-01T08:01:00+01:00,312.91,314.4,314.4,314.4,16.33743031
1522566240,2018-04-01T08:04:00+01:00,312.81,314.39,314.39,312.81,6.32481583
1522566300,2018-04-01T08:05:00+01:00,312.5,314.38,314.38,314.2,7.328608900000002
1522566360,2018-04-01T08:06:00+01:00,313.96,313.96,313.96,313.96,0.22229146
1522566420,2018-04-01T08:07:00+01:00,313.95,313.95,313.95,313.95,0.12498
1522566480,2018-04-01T08:08:00+01:00,313.95,313.95,313.95,313.95,5.14131244
1522566540,2018-04-01T08:09:00+01:00,313.93,313.95,313.95,313.93,0.75370756
1522566600,2018-04-01T08:10:00+01:00,313,313.68,313.68,313.66,5.77027387
1522566660,2018-04-01T08:11:00+01:00,312.1,313.61,313.61,312.26,2.77272667
1522566720,2018-04-01T08:12:00+01:00,311.19,312.25,312.25,311.65,11.3856653
1522566780,2018-04-01T08:13:00+01:00,311.89,311.89,311.89,311.89,1.26587628
1522566840,2018-04-01T08:14:00+01:00,309.99,311.19,311.19,309.99,136.72884881
1522566900,2018-04-01T08:15:00+01:00,309.99,309.99,309.99,309.99,15.266447750000001
1522566960,2018-04-01T08:16:00+01:00,309,310,309.99,309.26,20.172300059999998
1522567080,2018-04-01T08:18:00+01:00,307.42,309.69,309.25,309.69,66.55510236999999
1522567140,2018-04-01T08:19:00+01:00,307.42,309.55,309.55,308.15,29.47250678
1522567200,2018-04-01T08:20:00+01:00,308.33,308.56,308.38,308.33,0.31171876
1522567260,2018-04-01T08:21:00+01:00,307.11,308.54,308.54,307.11,5.85712268
1522567320,2018-04-01T08:22:00+01:00,307.36,308.51,308.51,308.13,2.74850448
1522567380,2018-04-01T08:23:00+01:00,307.85,307.85,307.85,307.85,0.15
1522567440,2018-04-01T08:24:00+01:00,307.1,308,307.99,307.98,1.09617452
1522567500,2018-04-01T08:25:00+01:00,306.06,307.98,307.98,306.06,90.57533497000001
1522567560,2018-04-01T08:26:00+01:00,306.07,306.76,306.23,306.09,13.09704227
1522567620,2018-04-01T08:27:00+01:00,306.1,306.11,306.11,306.1,1.6658336599999999
1522567680,2018-04-01T08:28:00+01:00,306,306.74,306.74,306.11,151.77067981999997
1522567740,2018-04-01T08:29:00+01:00,306.75,306.75,306.75,306.75,5.3455607
1522567800,2018-04-01T08:30:00+01:00,306.75,309.1,306.75,308.84,99.41044207999998
1522567860,2018-04-01T08:31:00+01:00,308.88,308.89,308.89,308.88,0.93332541
1522567920,2018-04-01T08:32:00+01:00,306.8,308.88,308.88,306.8,34.96064978
1522567980,2018-04-01T08:33:00+01:00,305,308.28,308.28,305.57,215.76512294
1522568040,2018-04-01T08:34:00+01:00,305,305.66,305.57,305.66,51.00395651000001
1522568100,2018-04-01T08:35:00+01:00,305,305.66,305.66,305.62,6.27255891
1522568160,2018-04-01T08:36:00+01:00,304,305.06,305,304,69.20652460999999
1522568220,2018-04-01T08:37:00+01:00,304,304.28,304.28,304,11.23823415
1522568280,2018-04-01T08:38:00+01:00,304.02,304.28,304.28,304.02,2.78693568
1522568340,2018-04-01T08:39:00+01:00,304,304.28,304.28,304,7.98697703
1522568400,2018-04-01T08:40:00+01:00,304,305.75,304,305.75,3.9681242500000002
1522568460,2018-04-01T08:41:00+01:00,306.17,306.41,306.17,306.41,6.745338539999999
1522568520,2018-04-01T08:42:00+01:00,306.6,306.6,306.6,306.6,0.13099146
1522568580,2018-04-01T08:43:00+01:00,306.1,306.94,306.94,306.1,4.08254019
1522568700,2018-04-01T08:45:00+01:00,306.96,306.96,306.96,306.96,0.47535083
1522569000,2018-04-01T08:50:00+01:00,305.97,305.98,305.97,305.98,0.24252400000000002
1522569060,2018-04-01T08:51:00+01:00,305.66,305.98,305.98,305.83,16.74125543
1522569120,2018-04-01T08:52:00+01:00,305,305.82,305.82,305.29,9.707973289999998
1522569180,2018-04-01T08:53:00+01:00,305,305.27,305.27,305.13,1.96510128
1522569300,2018-04-01T08:55:00+01:00,304.5,305.32,305.32,304.5,28.762453859999997
1522569360,2018-04-01T08:56:00+01:00,304.97,305.72,305.33,305.72,1.6256686100000002
1522569480,2018-04-01T08:58:00+01:00,305.73,305.73,305.73,305.73,2.1374727
1522569600,2018-04-01T09:00:00+01:00,305.72,305.73,305.72,305.73,3.3520923600000003
1522569660,2018-04-01T09:01:00+01:00,305.72,305.92,305.73,305.92,97.06997340000002
1522569720,2018-04-01T09:02:00+01:00,305.92,306.89,305.92,306.89,4.0305703699999995
1522569840,2018-04-01T09:04:00+01:00,306.89,306.89,306.89,306.89,8.53947006
1522569900,2018-04-01T09:05:00+01:00,306.97,308.09,306.97,308.09,1.91782859
1522569960,2018-04-01T09:06:00+01:00,308.17,308.49,308.17,308.49,3.03197143
1522570080,2018-04-01T09:08:00+01:00,308.61,309.7,309.21,309.57,34.060906249999995
1522570140,2018-04-01T09:09:00+01:00,309.15,309.15,309.15,309.15,0.5
1522570200,2018-04-01T09:10:00+01:00,308.92,309.39,308.92,309.38,2.30079447
1522570260,2018-04-01T09:11:00+01:00,309.38,309.38,309.38,309.38,0.23847263
1522570320,2018-04-01T09:12:00+01:00,308,309.37,309.37,308,12.01283277
1522570440,2018-04-01T09:14:00+01:00,308,308.01,308,308.01,4.01144405
1522570500,2018-04-01T09:15:00+01:00,307.92,308,308,307.92,0.9397947699999999
1522570560,2018-04-01T09:16:00+01:00,307,307,307,307,0.98382665
1522570620,2018-04-01T09:17:00+01:00,306.18,307,307,306.18,2.83538764
1522570680,2018-04-01T09:18:00+01:00,306.39,306.39,306.39,306.39,0.65081038
1522570740,2018-04-01T09:19:00+01:00,306.73,306.73,306.73,306.73,0.65008898
1522570800,2018-04-01T09:20:00+01:00,306.07,306.73,306.73,306.07,0.04
1522571040,2018-04-01T09:24:00+01:00,306.93,307.46,306.93,307.46,0.03504715
